"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"ACIPENSERIFORMES","1","1","2","1","0","3","17","3","5","25","0","0","0","0","27"
"ALBULIFORMES","0","0","0","0","0","0","0","0","1","1","0","1","1","7","10"
"AMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"ANGUILLIFORMES","0","0","0","0","0","0","1","3","4","8","0","6","613","249","876"
"ATELEOPODIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","5","11"
"ATHERINIFORMES","1","0","1","4","3","8","45","56","39","140","0","30","112","38","321"
"AULOPIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","223","58","282"
"BATRACHOIDIFORMES","0","0","0","0","0","0","0","2","7","9","0","0","31","9","49"
"BELONIFORMES","0","0","0","3","0","3","7","9","7","23","0","14","116","22","175"
"BERYCIFORMES","0","0","0","0","0","0","0","0","2","2","0","0","111","29","142"
"CETOMIMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","12","28"
"CHARACIFORMES","0","0","0","3","0","3","17","65","74","156","0","53","1,006","212","1,427"
"CLUPEIFORMES","0","0","0","2","0","2","4","12","13","29","0","4","268","120","421"
"CYPRINIFORMES","43","1","44","32","0","76","159","299","336","794","0","169","1,592","673","3,272"
"CYPRINODONTIFORMES","11","7","18","9","4","31","108","156","176","440","0","51","424","158","1,091"
"ELOPIFORMES","0","0","0","0","0","0","0","0","1","1","0","0","3","5","9"
"ESOCIFORMES","0","0","0","0","0","0","0","0","1","1","0","0","11","0","12"
"GADIFORMES","0","0","0","0","0","0","1","1","2","4","0","1","113","38","156"
"GASTEROSTEIFORMES","1","0","1","0","0","1","1","1","2","4","0","2","19","5","31"
"GOBIESOCIFORMES","0","0","0","0","1","1","1","1","10","12","0","0","67","24","103"
"GOBIIFORMES","0","0","0","7","0","7","37","58","65","160","0","39","944","313","1,456"
"GONORYNCHIFORMES","0","0","0","0","0","0","0","1","4","5","0","0","18","11","34"
"GYMNOTIFORMES","0","0","0","1","0","1","7","1","15","23","0","4","111","33","171"
"LAMPRIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","22","3","25"
"LEPISOSTEIFORMES","0","0","0","0","0","0","1","0","0","1","0","0","6","0","7"
"LOPHIIFORMES","0","0","0","0","0","0","3","4","0","7","0","1","243","103","354"
"MUGILIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","40","12","53"
"MYCTOPHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","234","24","258"
"NOTACANTHIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","13","0","13"
"OPHIDIIFORMES","0","0","0","0","0","0","1","5","6","12","0","2","336","189","539"
"OSMERIFORMES","1","0","1","0","0","1","26","25","10","61","0","0","111","28","201"
"OSTEOGLOSSIFORMES","1","0","1","0","0","1","0","6","14","20","0","4","143","43","211"
"PERCIFORMES","6","0","6","53","0","59","157","183","315","655","0","164","4,989","897","6,711"
"PERCOPSIFORMES","0","0","0","0","0","0","1","0","0","1","0","3","5","0","9"
"PLEURONECTIFORMES","0","0","0","0","0","0","0","2","12","14","0","9","438","320","781"
"POLYMIXIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","7","3","10"
"POLYPTERIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","12","1","14"
"SACCOPHARYNGIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","18","28"
"SALMONIFORMES","13","2","15","2","0","17","21","20","33","74","0","6","41","20","156"
"SCORPAENIFORMES","1","0","1","0","0","1","4","5","8","17","0","7","389","115","529"
"SILURIFORMES","2","0","2","10","0","12","74","154","158","386","0","129","1,495","677","2,689"
"STEPHANOBERYCIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","50","29","79"
"STOMIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","333","107","440"
"SYNBRANCHIFORMES","0","0","0","1","0","1","2","6","6","14","0","4","63","18","99"
"SYNGNATHIFORMES","0","0","0","0","0","0","1","3","14","18","0","2","184","96","300"
"TETRAODONTIFORMES","0","0","0","0","0","0","1","7","8","16","0","7","289","60","372"
"ZEIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","10","2","12"
"ANURA","33","2","35","146","1","182","591","964","625","2,180","0","338","3,027","1,000","6,580"
"CAUDATA","3","0","3","10","0","13","128","169","111","408","0","65","189","48","713"
"GYMNOPHIONA","0","0","0","0","0","0","3","11","4","18","0","3","75","97","193"
"ACTINIARIA","0","0","0","1","0","1","1","1","1","3","0","0","2","6","11"
"ALCYONACEA","0","0","0","0","0","0","0","0","1","1","0","1","1","4","7"
"HELIOPORACEA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"PENICILLARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"PENNATULACEA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"SCLERACTINIA","0","0","0","1","0","1","25","25","200","250","0","179","277","116","822"
"ZOANTHINARIA","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8"
"AMBLYPYGI","0","0","0","0","0","0","0","0","2","2","0","0","0","0","2"
"ARANEAE","3","0","3","15","0","18","60","89","61","210","0","17","89","46","365"
"HOLOTHYROIDAE","1","0","1","0","0","1","2","1","0","3","0","0","0","0","4"
"OPILIONES","5","0","5","5","0","10","6","9","2","17","0","0","0","0","22"
"ORIBATIDA","0","0","0","0","0","0","0","1","0","1","0","6","0","16","23"
"PSEUDOSCORPIONES","0","0","0","1","0","1","3","4","4","11","0","0","4","1","16"
"SCHIZOMIDA","0","0","0","0","0","0","1","2","1","4","0","0","1","1","6"
"SCORPIONES","0","0","0","0","0","0","1","1","1","3","0","0","0","0","3"
"FORCIPULATIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"ACCIPITRIFORMES","1","0","1","0","0","1","13","20","24","57","0","31","162","1","252"
"ANSERIFORMES","7","0","7","0","0","7","6","8","12","26","0","16","128","0","177"
"BUCEROTIFORMES","1","0","1","0","0","1","3","5","17","25","0","5","42","0","73"
"CAPRIMULGIFORMES","2","0","2","3","0","5","12","19","23","54","0","39","498","10","603"
"CARIAMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"CATHARTIFORMES","0","0","0","0","0","0","1","0","1","2","0","0","5","0","7"
"CHARADRIIFORMES","7","0","7","3","0","10","11","15","25","51","0","45","281","2","386"
"CICONIIFORMES","0","0","0","0","0","0","0","4","1","5","0","3","12","0","20"
"COLIIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6"
"COLUMBIFORMES","16","1","17","0","0","17","13","18","34","65","0","50","237","1","370"
"CORACIIFORMES","0","1","1","0","0","1","4","0","13","17","0","26","142","1","187"
"CUCULIFORMES","2","0","2","0","0","2","2","2","8","12","0","8","131","0","153"
"EURYPYGIFORMES","0","0","0","0","0","0","0","1","0","1","0","0","1","0","2"
"FALCONIFORMES","2","0","2","0","0","2","0","2","6","8","0","6","50","0","66"
"GALLIFORMES","1","1","2","0","0","2","11","20","45","76","0","48","183","0","309"
"GAVIIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","4","0","5"
"GRUIFORMES","24","0","24","0","0","24","9","11","29","49","0","14","104","2","193"
"LEPTOSOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"MESITORNITHIFORMES","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3"
"MUSOPHAGIFORMES","0","0","0","0","0","0","0","1","0","1","0","2","21","0","24"
"OPISTHOCOMIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"OTIDIFORMES","0","0","0","0","0","0","3","1","4","8","0","7","11","0","26"
"PASSERIFORMES","60","1","61","9","0","70","91","196","348","635","0","515","5,450","24","6,685"
"PELECANIFORMES","6","0","6","0","0","6","4","8","7","19","0","8","83","0","116"
"PHAETHONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"PHOENICOPTERIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","2","0","6"
"PICIFORMES","1","0","1","1","0","2","3","9","14","26","0","43","414","1","485"
"PODICIPEDIFORMES","3","0","3","0","0","3","1","3","1","5","0","1","14","0","23"
"PROCELLARIIFORMES","2","0","2","2","0","4","17","20","29","66","0","20","57","2","147"
"PSITTACIFORMES","16","1","17","3","0","20","24","28","56","108","0","54","242","0","421"
"PTEROCLIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","16","0","16"
"SPHENISCIFORMES","0","0","0","0","0","0","0","5","4","9","0","2","7","0","18"
"STRIGIFORMES","5","0","5","1","0","6","4","11","28","43","0","27","167","2","244"
"STRUTHIONIFORMES","2","0","2","0","0","2","0","1","11","12","0","6","41","0","61"
"SULIFORMES","1","0","1","0","0","1","1","5","9","15","0","3","35","0","54"
"TROGONIFORMES","0","0","0","0","0","0","0","0","1","1","0","8","34","0","43"
"ARCIDA","0","0","0","0","0","0","0","0","1","1","0","0","3","0","4"
"CARDIIDA","0","0","0","0","0","0","0","0","4","4","4","0","1","0","9"
"LUCINIDA","0","0","0","0","0","0","1","1","0","2","0","0","1","0","3"
"MYTILIDA","0","0","0","0","0","0","2","4","6","12","0","0","4","1","17"
"OSTREIDA","0","0","0","0","0","0","0","0","0","0","0","0","6","14","20"
"PECTINIDA","0","0","0","0","0","0","0","0","1","1","0","0","0","1","2"
"PTERIOIDA","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"SOLEMYIDA","0","0","0","0","0","0","2","0","0","2","0","0","0","0","2"
"UNIONIDA","32","0","32","12","0","44","71","58","42","171","0","50","203","84","540"
"VENERIDA","0","0","0","3","0","3","7","6","7","20","0","8","122","69","219"
"ANOSTRACA","0","0","0","0","0","0","7","9","10","26","1","1","1","1","30"
"DIPLOSTRACA","0","0","0","0","0","0","0","0","12","12","0","0","0","0","12"
"NOTOSTRACA","0","0","0","0","0","0","1","4","0","5","0","0","0","0","5"
"PETROMYZONTIFORMES","0","0","0","1","0","1","2","4","2","8","0","3","24","3","38"
"BATHYTEUTHIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6"
"IDIOSEPIIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6"
"MYOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","36","48"
"OCTOPODA","0","0","0","0","0","0","1","2","2","5","0","1","139","126","271"
"OEGOPSIDA","0","0","0","0","0","0","0","0","0","0","0","0","126","104","230"
"SEPIIDA","0","0","0","0","0","0","0","0","0","0","0","1","33","92","126"
"SEPIOLIDA","0","0","0","0","0","0","0","0","0","0","0","0","12","50","62"
"SPIRULIDA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"GEOPHILOMORPHA","0","0","0","2","0","2","3","2","0","5","0","0","1","0","6"
"LITHOBIOMORPHA","0","0","0","0","0","0","0","3","0","3","0","0","0","0","3"
"SCOLOPENDROMORPHA","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"SCUTIGEROMORPHA","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"CARCHARHINIFORMES","0","0","0","1","0","1","24","29","43","96","0","23","134","39","292"
"CHIMAERIFORMES","0","0","0","0","0","0","0","0","4","4","0","4","35","10","53"
"HETERODONTIFORMES","0","0","0","0","0","0","0","0","0","0","0","0","6","3","9"
"HEXANCHIFORMES","0","0","0","0","0","0","0","0","1","1","0","3","3","0","7"
"LAMNIFORMES","0","0","0","0","0","0","1","4","5","10","0","0","5","0","15"
"MYLIOBATIFORMES","0","0","0","1","0","1","16","41","48","105","0","31","51","29","216"
"ORECTOLOBIFORMES","0","0","0","0","0","0","1","4","12","17","0","6","17","5","45"
"PRISTIOPHORIFORMES","0","0","0","0","0","0","0","0","0","0","0","1","7","2","10"
"RAJIFORMES","0","0","0","0","0","0","8","14","24","46","0","30","174","47","297"
"RHINOPRISTIFORMES","0","0","0","0","0","0","30","7","10","47","0","5","7","6","65"
"SQUALIFORMES","0","0","0","0","0","0","1","15","15","31","0","14","72","23","140"
"SQUATINIFORMES","0","0","0","0","0","0","8","4","1","13","0","3","5","1","22"
"TORPEDINIFORMES","0","0","0","1","0","1","2","6","19","27","0","5","23","8","63"
"ARHYNCHOBDELLIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"CRASSICLITELLATA","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"HAPLOTAXIDA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"MEGADRILACEAE","2","0","2","1","0","3","3","9","4","16","0","8","41","49","116"
"OPISTHOPORA","0","0","0","3","0","3","3","4","4","11","0","2","33","56","102"
"ENTOMOBRYOMORPHA","0","0","0","0","0","0","0","0","2","2","0","3","0","0","5"
"PODUROMORPHA","0","0","0","2","0","2","2","0","0","2","0","1","0","1","4"
"CHORDEUMATIDA","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"POLYDESMIDA","1","0","1","1","0","2","2","0","2","4","0","0","0","0","5"
"POLYZONIIDA","0","0","0","1","0","1","1","2","1","4","0","0","0","0","4"
"SIPHONOPHORIDA","0","0","0","0","0","0","0","2","1","3","0","0","0","0","3"
"SPHAEROTHERIIDA","0","0","0","0","0","0","13","5","3","21","0","19","16","22","78"
"SPIROBOLIDA","2","0","2","2","0","4","16","16","3","35","0","23","11","5","76"
"SPIROSTREPTIDA","0","0","0","0","0","0","2","7","5","14","0","23","25","14","76"
