"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:101170","urn:lsid:marinespecies.org:taxname:101170","Myxine glutinosa","Myxine glutinosa","Myxini","Myxiniformes","Myxinidae","Myxine","accepted",101170
"urn:lsid:marinespecies.org:taxname:101171","urn:lsid:marinespecies.org:taxname:101171","Myxine ios","Myxine ios","Myxini","Myxiniformes","Myxinidae","Myxine","accepted",101171
"urn:lsid:marinespecies.org:taxname:101172","urn:lsid:marinespecies.org:taxname:101172","Lampetra fluviatilis","Lampetra fluviatilis","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","accepted",101172
"urn:lsid:marinespecies.org:taxname:101173","urn:lsid:marinespecies.org:taxname:101173","Lethenteron camtschaticum","Lethenteron camtschaticum","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lethenteron","accepted",101173
"urn:lsid:marinespecies.org:taxname:101174","urn:lsid:marinespecies.org:taxname:101174","Petromyzon marinus","Petromyzon marinus","Petromyzonti","Petromyzontiformes","Petromyzontidae","Petromyzon","accepted",101174
"urn:lsid:marinespecies.org:taxname:105787","urn:lsid:marinespecies.org:taxname:105787","Carcharhinus altimus","Carcharhinus altimus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105787
"urn:lsid:marinespecies.org:taxname:105788","urn:lsid:marinespecies.org:taxname:105788","Carcharhinus brevipinna","Carcharhinus brevipinna","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105788
"urn:lsid:marinespecies.org:taxname:105789","urn:lsid:marinespecies.org:taxname:105789","Carcharhinus falciformis","Carcharhinus falciformis","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105789
"urn:lsid:marinespecies.org:taxname:105790","urn:lsid:marinespecies.org:taxname:105790","Carcharhinus galapagensis","Carcharhinus galapagensis","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105790
"urn:lsid:marinespecies.org:taxname:105791","urn:lsid:marinespecies.org:taxname:105791","Carcharhinus isodon","Carcharhinus isodon","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105791
"urn:lsid:marinespecies.org:taxname:105792","urn:lsid:marinespecies.org:taxname:105792","Carcharhinus leucas","Carcharhinus leucas","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105792
"urn:lsid:marinespecies.org:taxname:105793","urn:lsid:marinespecies.org:taxname:105793","Carcharhinus limbatus","Carcharhinus limbatus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105793
"urn:lsid:marinespecies.org:taxname:105794","urn:lsid:marinespecies.org:taxname:105794","Carcharhinus longimanus","Carcharhinus longimanus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105794
"urn:lsid:marinespecies.org:taxname:105795","urn:lsid:marinespecies.org:taxname:105795","Carcharhinus melanopterus","Carcharhinus melanopterus","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus","accepted",105795
