"Assembly Accession","Organism Name","Organism Common Name","Organism Taxonomic ID","class","order","family","genus","Assembly Release Date","Assembly Sequencing Tech","Assembly Stats Contig N50"
"GCA_900312575.1","Acanthochaenus luetkenii","pricklefish",473344,"Actinopteri","Beryciformes","Stephanoberycidae","Acanthochaenus","2018-03-19",NA,5636
"GCF_021347895.1","Acanthochromis polyacanthus","spiny chromis",80966,"Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Acanthochromis","2022-01-11","PacBio RSII; Hi-C",5524274
"GCF_904848185.1","Acanthopagrus latus","yellowfin seabream",8177,"Actinopteri","Eupercaria incertae sedis","Sparidae","Acanthopagrus","2020-10-12",NA,14880455
"GCA_029814675.1","Acanthurus coeruleus","blue tang surgeonfish",157585,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",2710
"GCA_029814705.1","Acanthurus grammoptilus","finelined surgeonfish",2609487,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",1230
"GCA_029814765.1","Acanthurus leucopareius",NA,1828454,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",41786
"GCA_029814665.1","Acanthurus lineatus","lined surgeonfish",483362,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",28744
"GCA_029814725.1","Acanthurus nigricauda","epaulette surgeonfish",753644,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",2566
"GCA_029823135.1","Acanthurus reversus",NA,1567455,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-18","Illumina",2195
"GCA_029783805.1","Acanthurus tennentii","doubleband surgeonfish",586769,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-17","Illumina",6481
"GCA_029783725.1","Acanthurus tractus","fiveband surgeonfish",1316013,"Actinopteri","Acanthuriformes","Acanthuridae","Acanthurus","2023-04-17","Illumina",8917
"GCA_024762115.1","Acipenser gueldenstaedtii","Russian sturgeon",7902,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","2022-08-29","BGISEQ-500",1043
"GCA_020113195.1","Acipenser transmontanus","white sturgeon",7904,"Actinopteri","Acipenseriformes","Acipenseridae","Acipenser","2021-09-23","Illumina HiSeq",2596
"GCA_916700685.1","Adelosebastes latens","Aleutian scorpionfish",1311530,"Actinopteri","Perciformes","Sebastidae","Adelosebastes","2021-10-09",NA,29796
"GCA_901007665.1","Aeoliscus strigatus","razorfish",270546,"Actinopteri","Syngnathiformes","Centriscidae","Aeoliscus","2020-04-15",NA,15935
"GCA_024635365.1","Aix galericulata","mandarin duck",8832,"Aves","Anseriformes","Anatidae","Aix","2022-08-16","Illumina HiSeq",77396
"GCA_943590845.1","Akarotaxis nudiceps",NA,227741,"Actinopteri","Perciformes","Bathydraconidae","Akarotaxis","2022-06-15",NA,11955
"GCA_019788955.1","Albula glossodonta","roundjaw bonefish",121402,"Actinopteri","Albuliformes","Albulidae","Albula","2021-08-27","PacBio Sequel; Illumina HiSeq",3575230
"GCA_022829145.1","Albula goreensis",NA,1534307,"Actinopteri","Albuliformes","Albulidae","Albula","2022-04-08","Oxford Nanopore PromethION; Oxford Nanopore GridION; Illumina HiSeq; Illumina NovaSeq",17514905
